Invoice ID,Branch,City,Customer type,Gender,Product line,Unit price,Quantity,Tax 5%,Total,Date,Time,Payment,cogs,gross margin percentage,gross income,Rating
123-59-8816,A,Naypyitaw,Member,Female,Electronic accessories,78.82,5,19.7,413.8,6/3/2019,11:11,Credit card,394.1,4.761904762,19.7,9.4
591-74-1519,B,Naypyitaw,Member,Female,Sports and travel,81.25,9,36.56,767.81,3/12/2019,15:37,Ewallet,731.25,4.761904762,36.56,6.2
947-36-5520,C,Yangon,Normal,Male,Health and beauty,37.14,1,1.86,39.0,10/22/2019,12:31,Cash,37.14,4.761904762,1.86,5.8
102-42-9183,B,Yangon,Normal,Female,Electronic accessories,25.12,6,7.54,158.26,11/13/2019,19:12,Credit card,150.72,4.761904762,7.54,9.7
891-83-5622,C,Naypyitaw,Member,Male,Electronic accessories,86.98,8,34.79,730.63,10/2/2019,16:19,Cash,695.84,4.761904762,34.79,7.5
271-47-2525,C,Yangon,Member,Female,Sports and travel,98.22,2,9.82,206.26,12/22/2019,21:24,Credit card,196.44,4.761904762,9.82,9.3
633-34-5744,C,Yangon,Member,Male,Health and beauty,51.16,9,23.02,483.46,8/3/2019,10:52,Cash,460.44,4.761904762,23.02,4.7
728-90-8664,A,Naypyitaw,Normal,Female,Home and lifestyle,79.74,4,15.95,334.91,1/5/2019,14:54,Ewallet,318.96,4.761904762,15.95,8.4
828-25-3695,A,Mandalay,Member,Female,Electronic accessories,58.86,2,5.89,123.61,1/1/2019,21:42,Credit card,117.72,4.761904762,5.89,5.7
771-98-3813,C,Mandalay,Normal,Male,Sports and travel,25.61,3,3.84,80.67,7/15/2019,10:10,Cash,76.83,4.761904762,3.84,8.6
471-91-4564,A,Mandalay,Member,Female,Home and lifestyle,18.43,6,5.53,116.11,6/28/2019,20:41,Credit card,110.58,4.761904762,5.53,4.3
653-75-3212,C,Naypyitaw,Member,Female,Health and beauty,79.41,7,27.79,583.66,1/14/2019,21:52,Ewallet,555.87,4.761904762,27.79,4.8
888-72-4661,B,Yangon,Normal,Female,Health and beauty,64.52,7,22.58,474.22,7/15/2019,15:25,Credit card,451.64,4.761904762,22.58,5.0
932-44-7454,B,Yangon,Member,Female,Sports and travel,47.81,10,23.91,502.01,8/25/2019,17:50,Credit card,478.1,4.761904762,23.91,5.0
144-82-3403,B,Naypyitaw,Normal,Male,Sports and travel,61.95,3,9.29,195.14,8/25/2019,16:54,Ewallet,185.85,4.761904762,9.29,6.7
566-73-6341,A,Mandalay,Normal,Male,Home and lifestyle,17.62,3,2.64,55.5,3/6/2019,18:13,Ewallet,52.86,4.761904762,2.64,8.6
118-50-4320,A,Naypyitaw,Normal,Male,Electronic accessories,13.94,8,5.58,117.1,10/10/2019,12:21,Cash,111.52,4.761904762,5.58,9.9
600-12-9434,A,Yangon,Normal,Female,Home and lifestyle,69.19,7,24.22,508.55,9/2/2019,14:53,Credit card,484.33,4.761904762,24.22,5.7
224-60-6291,B,Mandalay,Member,Male,Electronic accessories,69.1,3,10.37,217.67,10/28/2019,14:16,Credit card,207.3,4.761904762,10.37,7.2
513-23-4831,B,Yangon,Normal,Female,Home and lifestyle,50.12,3,7.52,157.88,6/5/2019,23:10,Cash,150.36,4.761904762,7.52,4.1
862-38-6587,A,Mandalay,Normal,Female,Health and beauty,59.81,8,23.92,502.4,10/7/2019,11:33,Ewallet,478.48,4.761904762,23.92,8.3
607-22-5655,A,Yangon,Member,Male,Home and lifestyle,29.29,8,11.72,246.04,1/2/2019,18:16,Ewallet,234.32,4.761904762,11.72,9.2
681-53-8090,C,Yangon,Member,Female,Sports and travel,98.09,9,44.14,926.95,10/15/2019,18:19,Credit card,882.81,4.761904762,44.14,6.0
139-35-9726,B,Yangon,Normal,Male,Electronic accessories,18.53,5,4.63,97.28,1/20/2019,19:33,Cash,92.65,4.761904762,4.63,4.7
198-39-8080,A,Yangon,Normal,Male,Health and beauty,52.37,9,23.57,494.9,10/17/2019,23:59,Cash,471.33,4.761904762,23.57,6.0
380-68-7789,B,Naypyitaw,Member,Male,Electronic accessories,73.42,3,11.01,231.27,11/4/2019,21:25,Cash,220.26,4.761904762,11.01,9.7
113-13-8037,A,Mandalay,Member,Male,Electronic accessories,46.61,4,9.32,195.76,4/25/2019,12:13,Ewallet,186.44,4.761904762,9.32,7.2
250-15-5434,A,Yangon,Member,Female,Electronic accessories,35.16,4,7.03,147.67,9/10/2019,14:25,Cash,140.64,4.761904762,7.03,9.4
