Year,Month,Day,Total
2019,1,1,395.43174999999997
2019,1,2,243.18787500000002
2019,1,3,259.7660625
2019,1,4,270.61475
2019,1,5,294.723625
2019,1,6,401.5783333333333
2019,1,7,314.91599999999994
2019,1,8,294.09625
2019,1,9,377.6679375
2019,1,10,395.66099999999994
2019,1,11,264.3703125
2019,1,12,471.34213636363637
2019,1,13,245.12040000000002
2019,1,14,305.12434615384615
2019,1,15,457.25076923076927
2019,1,16,428.9082
2019,1,17,285.705
2019,1,18,308.9415
2019,1,19,307.17028125
2019,1,20,365.5449
2019,1,21,299.01243750000003
2019,1,22,243.53849999999997
2019,1,23,352.5992647058824
2019,1,24,415.5423461538461
2019,1,25,276.4921764705882
2019,1,26,262.2066176470588
2019,1,27,331.1355
2019,1,28,357.12224999999995
2019,1,29,293.047125
2019,1,30,284.2513333333333
2019,1,31,373.74975
2019,2,1,407.42275
2019,2,2,295.78200000000004
2019,2,3,390.56624999999997
2019,2,4,221.77240909090912
2019,2,5,252.594125
2019,2,6,223.49411538461538
2019,2,7,361.410525
2019,2,8,423.721375
2019,2,9,251.68419230769229
2019,2,10,285.5475
2019,2,11,567.769125
2019,2,12,374.873625
2019,2,13,116.7796875
2019,2,14,306.7614375
2019,2,15,359.5150263157895
2019,2,16,312.970875
2019,2,17,407.6592692307692
2019,2,18,213.7185
2019,2,19,469.79099999999994
2019,2,20,270.6417
2019,2,21,232.28975
2019,2,22,222.02822727272726
2019,2,23,292.448625
2019,2,24,302.49566666666664
2019,2,25,300.45225
2019,2,26,267.5738333333333
2019,2,27,418.53225000000003
2019,2,28,349.503
2019,3,1,263.4366
2019,3,2,364.46141666666665
2019,3,3,346.65524999999997
2019,3,4,324.536625
2019,3,5,366.5222647058823
2019,3,6,281.14513636363637
2019,3,7,159.8065
2019,3,8,284.12618181818186
2019,3,9,467.12793750000003
2019,3,10,263.6025
2019,3,11,269.20472727272727
2019,3,12,306.462625
2019,3,13,206.3607
2019,3,14,400.813
2019,3,15,245.20125
2019,3,16,350.497
2019,3,17,329.3815
2019,3,18,184.6905
2019,3,19,358.7745
2019,3,20,363.8803
2019,3,21,312.91925
2019,3,22,317.9148
2019,3,23,372.27654545454544
2019,3,24,316.1330454545454
2019,3,25,252.55183333333332
2019,3,26,150.9625384615385
2019,3,27,290.28195
2019,3,28,222.9402
2019,3,29,502.905375
2019,3,30,407.91450000000003
